rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,day,month,year,given_name_soundex,given_name_nysiis,surname_soundex,surname_nysiis,match_id
rec-1496-org,mitchell,green,7,wallaby place,delmar,cleveland,2119,sa,09,04,1956,M324,MATCAL,G650,GRAN,-1
rec-552-dup-3,harley,mccarthy,177,pridhamstreet,milton,marsden,3165,nsw,19,04,1908,H640,HARLY,M263,MCARTY,6
rec-988-dup-1,madeline,mason,54,hoseason street,lakefront retrmnt vlge,granville,4881,nsw,28,11,1908,M345,MADALAN,M250,MASAN,11
rec-1716-dup-1,isabelle,,23,gundulu place,currin ga,utakarra,2193,wa,19,11,1992,I214,ISABAL,,,16
rec-1213-org,taylor,hathaway,7,yuranigh court,brentwood vlge,,4220,nsw,07,12,1999,T460,TAYLAR,H300,HATY,-1
rec-193-org,toby,webb,6,kent street,kersey' south,towradgi,3107,nsw,03,05,1994,T100,TABY,W100,WAB,-1
rec-264-dup-0,harry,stubs,0,mountain creek road,,eaton,7310,vic,13,11,1972,H600,HARY,S312,STAB,20
rec-1695-dup-3,lydia,mccattmhy,32,mckillop ecircuit,telemon orchards,corio,4670,nsw,20,12,1975,L300,LYD,M235,MCATNMY,28
rec-875-dup-0,hollie,lillie-hinrichs,27,hemmings crescent,kilvintonvillage,banyo,4030,,30,11,1925,H400,HALY,L456,LALAHANRAC,32
rec-1778-dup-1,dylan,zilm,17,blameycrescent,condinup,wattle glen,4211,vic,29,12,1967,D450,DYLAN,Z450,ZALN,34
rec-1696-dup-1,,donaldson,14,manity court,pacific terraces,charmhaven,3101,vic,25,08,1994,,,D543,DANALDSAN,37
rec-382-dup-0,isabella,vincent,16,wilshiredstreet,erinsavle,rose ay,6207,vic,17,05,1976,I214,ISABAL,V525,VANCAD,40
rec-442-dup-0,connor,bishop,27,jarreah,mackinnon street,aspley,6052,,17,04,1920,C560,CANAR,B210,BASAP,42
rec-1671-dup-0,connor,shepherd,39,burnage place,rowethorpe,winstonhills,3183,nsw,07,09,1932,C560,CANAR,S163,SAFAD,49
rec-1816-dup-1,natalia,gredn,358,macrossan crescent,newman medicajl centre,yagoona,2535,qld,11,01,1991,N340,NATAL,G635,GRADN,54
rec-459-dup-4,georgia,pettigrove,5,sinclair street,pinds,prairei,2478,nsw,19,10,1923,G620,GARG,P326,PATAGRAV,66
rec-1881-dup-1,wilson,pitno,11,bousteadcircuit,jewells medical centre,granville,3161,qld,29,12,1997,W425,WALSAN,P350,PATN,72
rec-729-org,andrew,klander,20,newman morris circuit,the willows,homebush,2285,vic,17,10,1976,A536,ANDRAE,K453,CLANDAR,74
rec-575-dup-1,tahni,skeen,11,macfarland crescent,,ryde,3220,,10,11,1923,T500,TAN,S500,SCAN,81
rec-1688-org,kasey,millar,0,burdekin avenue,crown allot,woollahra,4217,qld,14,07,1993,K200,CASY,M460,MALAR,-1
rec-292-dup-0,keziah,parr,20,clift crecent,bro okvale,murphys rceek,2761,nsw,03,01,1955,K200,CAS,P600,PAR,85
rec-834-dup-0,braecon,schuetz,122,howarth place,villa 19,alice springs,2028,vic,09,09,1944,B625,BRACAN,S320,SAT,87
